red,blue,score 
"['[U:1:342061447]', '[U:1:998239081]', '[U:1:867539723]', '[U:1:110923884]', '[U:1:171938429]', '[U:1:184444257]']","['[U:1:246241288]', '[U:1:342482068]', '[U:1:1052789333]', '[U:1:1081196330]', '[U:1:217984439]', '[U:1:989144808]']","[1, 4]"
"['[U:1:126226938]', '[U:1:914486159]', '[U:1:198762683]', '[U:1:130301058]', '[U:1:1162876591]', '[U:1:998239081]', '[U:1:209647313]']","['[U:1:402718118]', '[U:1:342482068]', '[U:1:131400746]', '[U:1:873952590]', '[U:1:342061447]', '[U:1:1108040484]']","[1, 4]"
"['[U:1:893485704]', '[U:1:73086130]', '[U:1:842830053]', '[U:1:110923884]', '[U:1:242575436]', '[U:1:125098066]']","['[U:1:98528050]', '[U:1:80969486]', '[U:1:117579832]', '[U:1:395380187]', '[U:1:317184129]', '[U:1:156440371]']","[2, 1]"
"['[U:1:402718118]', '[U:1:246241288]', '[U:1:873952590]', '[U:1:155227384]', '[U:1:209647313]', '[U:1:1162876591]']","['[U:1:395380187]', '[U:1:342061447]', '[U:1:914486159]', '[U:1:198762683]', '[U:1:1108040484]', '[U:1:130301058]']","[0, 5]"
"['[U:1:86972215]', '[U:1:110923884]', '[U:1:242575436]', '[U:1:131400746]', '[U:1:73086130]', '[U:1:317184129]']","['[U:1:125098066]', '[U:1:80969486]', '[U:1:98528050]', '[U:1:155227384]', '[U:1:342061447]', '[U:1:402718118]']","[5, 1]"
"['[U:1:217984439]', '[U:1:393852362]', '[U:1:155227384]', '[U:1:1026268791]', '[U:1:1082984115]', '[U:1:919085644]']","['[U:1:404440631]', '[U:1:219622414]', '[U:1:97033636]', '[U:1:842830053]', '[U:1:1081196330]', '[U:1:998239081]']","[2, 2]"
"['[U:1:156269909]', '[U:1:125098066]', '[U:1:238849269]', '[U:1:978148563]', '[U:1:393852362]', '[U:1:1081196330]']","['[U:1:868296991]', '[U:1:914486159]', '[U:1:998239081]', '[U:1:342061447]', '[U:1:919085644]', '[U:1:121079858]']","[0, 4]"
"['[U:1:893485704]', '[U:1:103352915]', '[U:1:162401190]', '[U:1:393852362]', '[U:1:361612154]', '[U:1:217984439]', '[U:1:229064914]']","['[U:1:125098066]', '[U:1:342061447]', '[U:1:130663236]', '[U:1:121079858]', '[U:1:1081196330]', '[U:1:194921845]']","[2, 2]"
"['[U:1:125098066]', '[U:1:121079858]', '[U:1:117579832]', '[U:1:342061447]', '[U:1:868296991]', '[U:1:73086130]']","['[U:1:103352915]', '[U:1:893485704]', '[U:1:1053752290]', '[U:1:217984439]', '[U:1:361612154]', '[U:1:998239081]']","[2, 2]"
"['[U:1:260352292]', '[U:1:110923884]', '[U:1:73086130]', '[U:1:919085644]', '[U:1:314449381]', '[U:1:217984439]']","['[U:1:1052789333]', '[U:1:117579832]', '[U:1:198762683]', '[U:1:301648784]', '[U:1:1290056453]', '[U:1:387503533]']","[5, 0]"
"['[U:1:998239081]', '[U:1:302544351]', '[U:1:908952969]', '[U:1:247861908]', '[U:1:1207021770]', '[U:1:194921845]']","['[U:1:229064914]', '[U:1:342061447]', '[U:1:121079858]', '[U:1:868296991]', '[U:1:1203006976]', '[U:1:184444257]']","[3, 2]"
"['[U:1:998239081]', '[U:1:1052789333]', '[U:1:314449381]', '[U:1:247861908]', '[U:1:198762683]', '[U:1:989144808]']","['[U:1:908952969]', '[U:1:121079858]', '[U:1:173604068]', '[U:1:342061447]', '[U:1:194921845]', '[U:1:978148563]']","[3, 2]"
"['[U:1:91231051]', '[U:1:342061447]', '[U:1:989144808]', '[U:1:173604068]', '[U:1:121079858]', '[U:1:194921845]']","['[U:1:998239081]', '[U:1:1007792924]', '[U:1:1052789333]', '[U:1:110923884]', '[U:1:158263311]', '[U:1:1082984115]']","[3, 3]"
"['[U:1:219622414]', '[U:1:1007792924]', '[U:1:1052789333]', '[U:1:342061447]', '[U:1:80969486]', '[U:1:29086594]']","['[U:1:855379221]', '[U:1:998239081]', '[U:1:1082984115]', '[U:1:91231051]', '[U:1:110923884]', '[U:1:194921845]']","[3, 2]"
"['[U:1:893485704]', '[U:1:842830053]', '[U:1:485271219]', '[U:1:125098066]', '[U:1:1007792924]', '[U:1:29086594]']","['[U:1:110923884]', '[U:1:198762683]', '[U:1:121079858]', '[U:1:229064914]', '[U:1:155227384]', '[U:1:919085644]']","[1, 2]"
"['[U:1:125098066]', '[U:1:387503533]', '[U:1:919085644]', '[U:1:110923884]', '[U:1:485271219]', '[U:1:105376663]']","['[U:1:98528050]', '[U:1:29086594]', '[U:1:908952969]', '[U:1:198762683]', '[U:1:1007792924]', '[U:1:155227384]']","[0, 5]"
"['[U:1:842830053]', '[U:1:98528050]', '[U:1:198762683]', '[U:1:96015935]', '[U:1:73086130]', '[U:1:342482068]']","['[U:1:107925106]', '[U:1:87295840]', '[U:1:121079858]', '[U:1:485271219]', '[U:1:29086594]', '[U:1:110923884]']","[1, 5]"
"['[U:1:339024341]', '[U:1:150597945]', '[U:1:156440371]', '[U:1:1290056453]', '[U:1:409701962]', '[U:1:402718118]']","['[U:1:126226938]', '[U:1:120495933]', '[U:1:998239081]', '[U:1:1026268791]', '[U:1:904306638]', '[U:1:989144808]']","[4, 3]"
"['[U:1:29086594]', '[U:1:121079858]', '[U:1:96015935]', '[U:1:73086130]', '[U:1:842830053]', '[U:1:164505650]']","['[U:1:98528050]', '[U:1:107925106]', '[U:1:110923884]', '[U:1:198762683]', '[U:1:485271219]', '[U:1:42954103]']","[1, 2]"
"['[U:1:893485704]', '[U:1:96015935]', '[U:1:110923884]', '[U:1:402718118]', '[U:1:84980776]', '[U:1:1290056453]']","['[U:1:120495933]', '[U:1:156440371]', '[U:1:339024341]', '[U:1:1026268791]', '[U:1:150597945]', '[U:1:998239081]']","[5, 2]"
"['[U:1:161368092]', '[U:1:990182760]', '[U:1:128635382]', '[U:1:485271219]', '[U:1:73086130]', '[U:1:1278657853]']","['[U:1:98528050]', '[U:1:426690057]', '[U:1:1241493147]', '[U:1:156440371]', '[U:1:302544351]', '[U:1:110923884]']","[5, 1]"
"['[U:1:1007792924]', '[U:1:188596904]', '[U:1:146679886]', '[U:1:194921845]', '[U:1:485271219]', '[U:1:1258031600]']","['[U:1:302544351]', '[U:1:103352915]', '[U:1:1278657853]', '[U:1:98528050]', '[U:1:110923884]', '[U:1:339024341]']","[4, 2]"
"['[U:1:130301058]', '[U:1:110923884]', '[U:1:1162876591]', '[U:1:873952590]', '[U:1:95707166]', '[U:1:1086921574]']","['[U:1:914486159]', '[U:1:116428232]', '[U:1:120495933]', '[U:1:84578794]', '[U:1:908952969]', '[U:1:1278657853]']","[0, 5]"
"['[U:1:402718118]', '[U:1:247861908]', '[U:1:95707166]', '[U:1:873952590]', '[U:1:110923884]', '[U:1:120495933]']","['[U:1:98528050]', '[U:1:908952969]', '[U:1:1278657853]', '[U:1:998239081]', '[U:1:130301058]', '[U:1:1162876591]', '[U:1:1007792924]']","[2, 5]"
"['[U:1:908952969]', '[U:1:1007792924]', '[U:1:133515365]', '[U:1:188596904]', '[U:1:84578794]', '[U:1:98528050]']","['[U:1:873952590]', '[U:1:998239081]', '[U:1:116428232]', '[U:1:161368092]', '[U:1:438002921]', '[U:1:342061447]', '[U:1:1278657853]']","[3, 1]"
"['[U:1:98528050]', '[U:1:81079996]', '[U:1:342061447]', '[U:1:188596904]', '[U:1:1007792924]', '[U:1:116428232]']","['[U:1:402718118]', '[U:1:873952590]', '[U:1:989144808]', '[U:1:485271219]', '[U:1:133515365]', '[U:1:84578794]']","[0, 5]"
"['[U:1:409701962]', '[U:1:188596904]', '[U:1:250658159]', '[U:1:80969486]', '[U:1:164800184]', '[U:1:130301058]']","['[U:1:161368092]', '[U:1:989144808]', '[U:1:1007792924]', '[U:1:402718118]', '[U:1:167311487]', '[U:1:155227384]']","[1, 0]"
"['[U:1:81079996]', '[U:1:122217817]', '[U:1:121079858]', '[U:1:188596904]', '[U:1:485271219]', '[U:1:167311487]']","['[U:1:409701962]', '[U:1:904306638]', '[U:1:402718118]', '[U:1:98528050]', '[U:1:150597945]', '[U:1:250658159]']","[2, 1]"
"['[U:1:402718118]', '[U:1:409701962]', '[U:1:150597945]', '[U:1:81079996]', '[U:1:350058571]', '[U:1:1007792924]']","['[U:1:98528050]', '[U:1:155227384]', '[U:1:188596904]', '[U:1:95372503]', '[U:1:122217817]', '[U:1:485271219]']","[1, 1]"
"['[U:1:121079858]', '[U:1:156440371]', '[U:1:130301058]', '[U:1:164800184]', '[U:1:95707166]', '[U:1:250658159]']","['[U:1:98528050]', '[U:1:321734144]', '[U:1:213858425]', '[U:1:402718118]', '[U:1:95372503]', '[U:1:485271219]']","[1, 5]"
"['[U:1:402718118]', '[U:1:95372503]', '[U:1:150597945]', '[U:1:428241817]', '[U:1:302544351]', '[U:1:485271219]']","['[U:1:321734144]', '[U:1:155227384]', '[U:1:130301058]', '[U:1:105013257]', '[U:1:110923884]', '[U:1:250658159]']","[5, 1]"
"['[U:1:302544351]', '[U:1:98528050]', '[U:1:321734144]', '[U:1:190430491]', '[U:1:164800184]', '[U:1:95372503]']","['[U:1:42954103]', '[U:1:402718118]', '[U:1:409701962]', '[U:1:121079858]', '[U:1:95707166]', '[U:1:150597945]']","[5, 1]"
"['[U:1:1108040484]', '[U:1:1280960540]', '[U:1:126226938]', '[U:1:116428232]', '[U:1:1162876591]', '[U:1:873952590]']","['[U:1:426690057]', '[U:1:1128930437]', '[U:1:914486159]', '[U:1:1052789333]', '[U:1:155227384]', '[U:1:919085644]']","[0, 5]"
"['[U:1:129395833]', '[U:1:426690057]', '[U:1:1052789333]', '[U:1:122217817]', '[U:1:155227384]', '[U:1:87295840]']","['[U:1:395380187]', '[U:1:95372503]', '[U:1:130663236]', '[U:1:873952590]', '[U:1:989144808]', '[U:1:156276611]']","[0, 2]"
"['[U:1:129395833]', '[U:1:44186221]', '[U:1:121079858]', '[U:1:302544351]', '[U:1:155227384]', '[U:1:998239081]', '[U:1:126226938]']","['[U:1:87295840]', '[U:1:95372503]', '[U:1:395380187]', '[U:1:130301058]', '[U:1:122217817]', '[U:1:250658159]']","[0, 5]"
"['[U:1:893485704]', '[U:1:130301058]', '[U:1:998239081]', '[U:1:95707166]', '[U:1:428241817]', '[U:1:164800184]']","['[U:1:121079858]', '[U:1:402718118]', '[U:1:426690057]', '[U:1:155227384]', '[U:1:842830053]', '[U:1:95372503]']","[2, 1]"
"['[U:1:156269909]', '[U:1:170311598]', '[U:1:1278657853]', '[U:1:438002921]', '[U:1:246241288]', '[U:1:1081196330]']","['[U:1:1052789333]', '[U:1:404440631]', '[U:1:129808893]', '[U:1:155227384]', '[U:1:409701962]', '[U:1:1290056453]']","[2, 4]"
"['[U:1:129808893]', '[U:1:1050919710]', '[U:1:404440631]', '[U:1:130663236]', '[U:1:296417871]', '[U:1:73086130]']","['[U:1:161368092]', '[U:1:156269909]', '[U:1:198377443]', '[U:1:170311598]', '[U:1:919085644]', '[U:1:194921845]']","[0, 2]"
"['[U:1:302544351]', '[U:1:130663236]', '[U:1:296417871]', '[U:1:73086130]', '[U:1:110923884]', '[U:1:1050919710]']","['[U:1:873952590]', '[U:1:161368092]', '[U:1:919085644]', '[U:1:155227384]', '[U:1:194921845]', '[U:1:1081196330]']","[4, 5]"
"['[U:1:919085644]', '[U:1:155227384]', '[U:1:1081196330]', '[U:1:246241288]', '[U:1:130663236]', '[U:1:156440371]']","['[U:1:873952590]', '[U:1:198377443]', '[U:1:161368092]', '[U:1:302544351]', '[U:1:194921845]', '[U:1:122217817]', '[U:1:1052789333]']","[4, 1]"
"['[U:1:1052789333]', '[U:1:339024341]', '[U:1:393852362]', '[U:1:194921845]', '[U:1:352052370]', '[U:1:1081196330]']","['[U:1:914486159]', '[U:1:161368092]', '[U:1:213858425]', '[U:1:110923884]', '[U:1:873952590]', '[U:1:387503533]']","[2, 3]"
"['[U:1:169764222]', '[U:1:489591700]', '[U:1:393852362]', '[U:1:1227498284]', '[U:1:1081196330]', '[U:1:194921845]']","['[U:1:387503533]', '[U:1:873952590]', '[U:1:246241288]', '[U:1:170311598]', '[U:1:892357098]', '[U:1:110923884]']","[2, 2]"
"['[U:1:395380187]', '[U:1:110923884]', '[U:1:1081196330]', '[U:1:428241817]', '[U:1:169764222]', '[U:1:868296991]']","['[U:1:387503533]', '[U:1:170311598]', '[U:1:1227498284]', '[U:1:29086594]', '[U:1:892357098]', '[U:1:1278657853]']","[5, 0]"
"['[U:1:1227498284]', '[U:1:1052789333]', '[U:1:893485704]', '[U:1:1081196330]', '[U:1:892357098]', '[U:1:185493316]']","['[U:1:219622414]', '[U:1:1007792924]', '[U:1:91231051]', '[U:1:489591700]', '[U:1:170311598]', '[U:1:29086594]']","[0, 5]"
"['[U:1:892357098]', '[U:1:91231051]', '[U:1:395380187]', '[U:1:1227498284]', '[U:1:73086130]', '[U:1:169764222]']","['[U:1:1203006976]', '[U:1:1081196330]', '[U:1:170311598]', '[U:1:453856590]', '[U:1:1007792924]', '[U:1:893485704]']","[0, 5]"
"['[U:1:395380187]', '[U:1:1227498284]', '[U:1:1052789333]', '[U:1:892357098]', '[U:1:91231051]', '[U:1:185493316]', '[U:1:64900020]']","['[U:1:893485704]', '[U:1:169764222]', '[U:1:387503533]', '[U:1:1007792924]', '[U:1:1081196330]', '[U:1:135653670]', '[U:1:297156731]']","[3, 4]"
"['[U:1:395380187]', '[U:1:387503533]', '[U:1:185493316]', '[U:1:893485704]', '[U:1:1081196330]', '[U:1:84980776]']","['[U:1:1052789333]', '[U:1:892357098]', '[U:1:155136833]', '[U:1:91231051]', '[U:1:135653670]', '[U:1:73086130]']","[5, 3]"
"['[U:1:402718118]', '[U:1:893485704]', '[U:1:908952969]', '[U:1:185493316]', '[U:1:387503533]', '[U:1:1081196330]']","['[U:1:73086130]', '[U:1:1052789333]', '[U:1:892357098]', '[U:1:914486159]', '[U:1:84980776]', '[U:1:155136833]']","[1, 3]"
"['[U:1:183962091]', '[U:1:1278657853]', '[U:1:454092328]', '[U:1:342061447]', '[U:1:91231051]', '[U:1:116428232]']","['[U:1:188596904]', '[U:1:108814174]', '[U:1:126226938]', '[U:1:130301058]', '[U:1:155227384]', '[U:1:110923884]']","[2, 0]"
"['[U:1:1290056453]', '[U:1:130301058]', '[U:1:402718118]', '[U:1:908952969]', '[U:1:91231051]', '[U:1:110923884]']","['[U:1:1052789333]', '[U:1:914486159]', '[U:1:116428232]', '[U:1:387503533]', '[U:1:188596904]', '[U:1:1278657853]']","[4, 0]"
"['[U:1:908952969]', '[U:1:44186221]', '[U:1:116428232]', '[U:1:155227384]', '[U:1:188596904]', '[U:1:130301058]', '[U:1:893485704]']","['[U:1:402718118]', '[U:1:126226938]', '[U:1:125098066]', '[U:1:110923884]', '[U:1:1290056453]', '[U:1:1278657853]']","[1, 5]"
"['[U:1:402718118]', '[U:1:110923884]', '[U:1:438002921]', '[U:1:116428232]', '[U:1:155227384]', '[U:1:130301058]']","['[U:1:125098066]', '[U:1:120495933]', '[U:1:893485704]', '[U:1:188596904]', '[U:1:342061447]', '[U:1:428241817]']","[5, 1]"
"['[U:1:1052789333]', '[U:1:914486159]', '[U:1:915974531]', '[U:1:110923884]', '[U:1:156440371]', '[U:1:73086130]']","['[U:1:1227498284]', '[U:1:892357098]', '[U:1:1050919710]', '[U:1:990182760]', '[U:1:1278657853]', '[U:1:29086594]']","[3, 1]"
"['[U:1:893485704]', '[U:1:162401190]', '[U:1:170311598]', '[U:1:87676631]', '[U:1:142415729]', '[U:1:1081196330]', '[U:1:129395833]']","['[U:1:387503533]', '[U:1:1007792924]', '[U:1:176838597]', '[U:1:342061447]', '[U:1:194921845]', '[U:1:156276611]']","[5, 0]"
"['[U:1:342061447]', '[U:1:176838597]', '[U:1:29086594]', '[U:1:1050919710]', '[U:1:73086130]', '[U:1:368644786]']","['[U:1:156440371]', '[U:1:162401190]', '[U:1:1081196330]', '[U:1:893485704]', '[U:1:1007792924]', '[U:1:485271219]', '[U:1:246241288]']","[1, 5]"
"['[U:1:915974531]', '[U:1:1052789333]', '[U:1:1110603288]', '[U:1:117579832]', '[U:1:129395833]', '[U:1:409701962]', '[U:1:1135934388]']","['[U:1:1227498284]', '[U:1:914486159]', '[U:1:1278657853]', '[U:1:110923884]', '[U:1:1280960540]', '[U:1:892357098]', '[U:1:170311598]']","[3, 2]"
"['[U:1:117579832]', '[U:1:915974531]', '[U:1:1227498284]', '[U:1:892357098]', '[U:1:95707166]', '[U:1:892993531]']","['[U:1:170311598]', '[U:1:931141810]', '[U:1:361612154]', '[U:1:129395833]', '[U:1:1069849161]', '[U:1:87676631]']","[0, 5]"
"['[U:1:96015935]', '[U:1:1323640]', '[U:1:990182760]', '[U:1:194921845]', '[U:1:428241817]', '[U:1:919085644]']","['[U:1:130663236]', '[U:1:893485704]', '[U:1:342061447]', '[U:1:842830053]', '[U:1:73086130]', '[U:1:409701962]']","[5, 1]"
"['[U:1:29086594]', '[U:1:409701962]', '[U:1:914486159]', '[U:1:125098066]', '[U:1:185493316]', '[U:1:892357098]']","['[U:1:129395833]', '[U:1:1278657853]', '[U:1:110923884]', '[U:1:87676631]', '[U:1:188596904]', '[U:1:361612154]']","[2, 3]"
"['[U:1:1278657853]', '[U:1:485271219]', '[U:1:1007792924]', '[U:1:1050919710]', '[U:1:229064914]', '[U:1:96015935]', '[U:1:184867074]']","['[U:1:107304716]', '[U:1:1280960540]', '[U:1:155227384]', '[U:1:87676631]', '[U:1:438002921]', '[U:1:409701962]']","[4, 3]"
"['[U:1:314449381]', '[U:1:1007792924]', '[U:1:1278657853]', '[U:1:208665602]', '[U:1:438002921]', '[U:1:96015935]']","['[U:1:914486159]', '[U:1:409701962]', '[U:1:107304716]', '[U:1:184867074]', '[U:1:155227384]', '[U:1:485271219]']","[1, 5]"
"['[U:1:317981219]', '[U:1:155227384]', '[U:1:96015935]', '[U:1:208665602]', '[U:1:170311598]', '[U:1:1007792924]']","['[U:1:914486159]', '[U:1:409701962]', '[U:1:168271836]', '[U:1:87676631]', '[U:1:1278657853]', '[U:1:438002921]']","[2, 3]"
"['[U:1:438002921]', '[U:1:117579832]', '[U:1:170311598]', '[U:1:247861908]', '[U:1:485271219]', '[U:1:379097486]']","['[U:1:168271836]', '[U:1:80969486]', '[U:1:87676631]', '[U:1:96015935]', '[U:1:989144808]', '[U:1:110923884]']","[3, 0]"
"['[U:1:247861908]', '[U:1:168271836]', '[U:1:314449381]', '[U:1:188596904]', '[U:1:379097486]', '[U:1:485271219]']","['[U:1:117579832]', '[U:1:96015935]', '[U:1:110923884]', '[U:1:989144808]', '[U:1:80969486]', '[U:1:438002921]']","[5, 1]"
"['[U:1:229064914]', '[U:1:314449381]', '[U:1:81079996]', '[U:1:453856590]', '[U:1:989144808]', '[U:1:188596904]']","['[U:1:914486159]', '[U:1:87676631]', '[U:1:110923884]', '[U:1:208665602]', '[U:1:302544351]', '[U:1:438002921]']","[3, 5]"
"['[U:1:402718118]', '[U:1:80969486]', '[U:1:1278657853]', '[U:1:166359895]', '[U:1:110923884]', '[U:1:302544351]', '[U:1:485271219]']","['[U:1:81079996]', '[U:1:188596904]', '[U:1:96015935]', '[U:1:73086130]', '[U:1:919085644]', '[U:1:229064914]']","[0, 4]"
"['[U:1:96015935]', '[U:1:1278657853]', '[U:1:247861908]', '[U:1:80969486]', '[U:1:485271219]', '[U:1:116428232]']","['[U:1:402718118]', '[U:1:188596904]', '[U:1:157537683]', '[U:1:81079996]', '[U:1:229064914]', '[U:1:438002921]']","[2, 1]"
"['[U:1:247861908]', '[U:1:1278657853]', '[U:1:188596904]', '[U:1:116428232]', '[U:1:81079996]', '[U:1:873952590]']","['[U:1:87295840]', '[U:1:402718118]', '[U:1:87676631]', '[U:1:96015935]', '[U:1:80969486]', '[U:1:438002921]']","[0, 3]"
"['[U:1:247861908]', '[U:1:168271836]', '[U:1:80969486]', '[U:1:155227384]', '[U:1:873952590]', '[U:1:438002921]']","['[U:1:81079996]', '[U:1:402718118]', '[U:1:1050507476]', '[U:1:79240754]', '[U:1:87295840]', '[U:1:96015935]']","[1, 3]"
"['[U:1:87295840]', '[U:1:81079996]', '[U:1:116428232]', '[U:1:339850851]', '[U:1:96015935]', '[U:1:402718118]']","['[U:1:213858425]', '[U:1:110923884]', '[U:1:873952590]', '[U:1:87676631]', '[U:1:296417871]', '[U:1:155227384]']","[1, 2]"
"['[U:1:87676631]', '[U:1:1290056453]', '[U:1:489591700]', '[U:1:454319943]', '[U:1:438002921]', '[U:1:110923884]', '[U:1:409701962]']","['[U:1:296417871]', '[U:1:188596904]', '[U:1:922754461]', '[U:1:84980776]', '[U:1:1278657853]', '[U:1:1050919710]']","[0, 5]"
"['[U:1:387503533]', '[U:1:161368092]', '[U:1:489591700]', '[U:1:922754461]', '[U:1:84980776]', '[U:1:1050919710]']","['[U:1:1290056453]', '[U:1:188596904]', '[U:1:454319943]', '[U:1:116428232]', '[U:1:87676631]', '[U:1:296417871]']","[2, 5]"
"['[U:1:98528050]', '[U:1:288334242]', '[U:1:168271836]', '[U:1:212481023]', '[U:1:103352915]', '[U:1:342061447]']","['[U:1:79240754]', '[U:1:409701962]', '[U:1:129395833]', '[U:1:485271219]', '[U:1:155308984]', '[U:1:361612154]']","[2, 0]"
"['[U:1:168271836]', '[U:1:1323640]', '[U:1:485271219]', '[U:1:409701962]', '[U:1:79240754]', '[U:1:84980776]']","['[U:1:41187105]', '[U:1:402718118]', '[U:1:155841239]', '[U:1:105013257]', '[U:1:121079858]', '[U:1:155227384]']","[4, 0]"
"['[U:1:260352292]', '[U:1:402718118]', '[U:1:485271219]', '[U:1:105376663]', '[U:1:77394867]', '[U:1:155227384]']","['[U:1:863015066]', '[U:1:904306638]', '[U:1:409701962]', '[U:1:121079858]', '[U:1:135653670]', '[U:1:1258031600]']","[4, 4]"
"['[U:1:302544351]', '[U:1:79240754]', '[U:1:1050507476]', '[U:1:155841239]', '[U:1:342061447]', '[U:1:185493316]']","['[U:1:116428232]', '[U:1:29162964]', '[U:1:121079858]', '[U:1:188596904]', '[U:1:168271836]', '[U:1:409701962]']","[3, 2]"
"['[U:1:219622414]', '[U:1:387503533]', '[U:1:129395833]', '[U:1:116428232]', '[U:1:1268599460]', '[U:1:73086130]']","['[U:1:1086921574]', '[U:1:96015935]', '[U:1:485271219]', '[U:1:324620866]', '[U:1:29086594]', '[U:1:350058571]']","[5, 2]"
"['[U:1:379097486]', '[U:1:129395833]', '[U:1:485271219]', '[U:1:29086594]', '[U:1:87676631]', '[U:1:350058571]']","['[U:1:219622414]', '[U:1:387503533]', '[U:1:324620866]', '[U:1:116428232]', '[U:1:73086130]', '[U:1:242575436]']","[3, 1]"
"['[U:1:209647313]', '[U:1:202531898]', '[U:1:914486159]', '[U:1:242575436]', '[U:1:485271219]', '[U:1:44079783]']","['[U:1:131400746]', '[U:1:116428232]', '[U:1:387503533]', '[U:1:919085644]', '[U:1:1136455767]', '[U:1:156440371]']","[4, 1]"
"['[U:1:487334809]', '[U:1:242575436]', '[U:1:87676631]', '[U:1:1136455767]', '[U:1:44079783]', '[U:1:1278657853]']","['[U:1:202531898]', '[U:1:154482075]', '[U:1:387503533]', '[U:1:130663236]', '[U:1:209647313]', '[U:1:485271219]']","[1, 4]"
"['[U:1:233139493]', '[U:1:198377443]', '[U:1:342061447]', '[U:1:387503533]', '[U:1:44079783]', '[U:1:998239081]']","['[U:1:98528050]', '[U:1:1227498284]', '[U:1:209647313]', '[U:1:1136455767]', '[U:1:489591700]', '[U:1:485271219]']","[3, 2]"
"['[U:1:198377443]', '[U:1:1278657853]', '[U:1:96015935]', '[U:1:155308984]', '[U:1:914486159]', '[U:1:394018863]']","['[U:1:1280960540]', '[U:1:41187105]', '[U:1:246241288]', '[U:1:1227498284]', '[U:1:990182760]', '[U:1:409701962]']","[0, 5]"
"['[U:1:170311598]', '[U:1:1227498284]', '[U:1:132115351]', '[U:1:914486159]', '[U:1:307757367]', '[U:1:919085644]']","['[U:1:394018863]', '[U:1:96015935]', '[U:1:1081196330]', '[U:1:296417871]', '[U:1:73086130]', '[U:1:229064914]']","[3, 1]"
"['[U:1:919085644]', '[U:1:96015935]', '[U:1:198377443]', '[U:1:302544351]', '[U:1:1081196330]', '[U:1:1290056453]']","['[U:1:394018863]', '[U:1:184806706]', '[U:1:170311598]', '[U:1:296417871]', '[U:1:990182760]', '[U:1:260352292]']","[5, 1]"
"['[U:1:219622414]', '[U:1:387503533]', '[U:1:132115351]', '[U:1:229064914]', '[U:1:73086130]', '[U:1:130663236]']","['[U:1:117579832]', '[U:1:1086921574]', '[U:1:87676631]', '[U:1:908952969]', '[U:1:485271219]', '[U:1:105013257]']","[4, 1]"
"['[U:1:1290056453]', '[U:1:96015935]', '[U:1:919085644]', '[U:1:489591700]', '[U:1:170311598]', '[U:1:1081196330]']","['[U:1:198377443]', '[U:1:394018863]', '[U:1:302544351]', '[U:1:1069849161]', '[U:1:990182760]', '[U:1:260352292]', '[U:1:1108040484]']","[3, 2]"
"['[U:1:921741768]', '[U:1:117579832]', '[U:1:129808893]', '[U:1:387503533]', '[U:1:132115351]', '[U:1:1323640]']","['[U:1:485271219]', '[U:1:229064914]', '[U:1:1086921574]', '[U:1:908952969]', '[U:1:1278657853]', '[U:1:453856590]']","[3, 3]"
"['[U:1:361612154]', '[U:1:919085644]', '[U:1:1290056453]', '[U:1:1069849161]', '[U:1:394018863]', '[U:1:489591700]']","['[U:1:87676631]', '[U:1:893485704]', '[U:1:96015935]', '[U:1:1108040484]', '[U:1:1081196330]', '[U:1:990182760]']","[5, 0]"
"['[U:1:494260720]', '[U:1:156440371]', '[U:1:96015935]', '[U:1:1278657853]', '[U:1:485271219]', '[U:1:103352915]']","['[U:1:998239081]', '[U:1:129808893]', '[U:1:155227384]', '[U:1:87676631]', '[U:1:1323640]', '[U:1:296417871]']","[0, 3]"
"['[U:1:104803329]', '[U:1:87676631]', '[U:1:108814174]', '[U:1:229064914]', '[U:1:379097486]', '[U:1:998239081]']","['[U:1:893485704]', '[U:1:428241817]', '[U:1:394018863]', '[U:1:29086594]', '[U:1:489591700]', '[U:1:919085644]']","[0, 5]"
"['[U:1:219622414]', '[U:1:919085644]', '[U:1:104803329]', '[U:1:229064914]', '[U:1:489591700]', '[U:1:171938429]']","['[U:1:893485704]', '[U:1:73086130]', '[U:1:428241817]', '[U:1:108814174]', '[U:1:81583816]', '[U:1:150077131]', '[U:1:1069849161]']","[2, 2]"
"['[U:1:104803329]', '[U:1:229064914]', '[U:1:990182760]', '[U:1:185493316]', '[U:1:73086130]', '[U:1:489591700]']","['[U:1:162401190]', '[U:1:29162964]', '[U:1:842830053]', '[U:1:893485704]', '[U:1:1290056453]', '[U:1:919085644]']","[0, 5]"
"['[U:1:73086130]', '[U:1:990182760]', '[U:1:29162964]', '[U:1:229064914]', '[U:1:113139878]', '[U:1:185493316]']","['[U:1:219622414]', '[U:1:96015935]', '[U:1:130301058]', '[U:1:842830053]', '[U:1:1290056453]', '[U:1:893485704]']","[5, 0]"
"['[U:1:909812136]', '[U:1:1323640]', '[U:1:838606354]', '[U:1:483032880]', '[U:1:1278657853]', '[U:1:169764222]']","['[U:1:229064914]', '[U:1:1241493147]', '[U:1:73086130]', '[U:1:893485704]', '[U:1:1280960540]', '[U:1:842830053]', '[U:1:135653670]']","[4, 1]"
"['[U:1:1026268791]', '[U:1:1278657853]', '[U:1:73086130]', '[U:1:229064914]', '[U:1:29086594]', '[U:1:909812136]']","['[U:1:893485704]', '[U:1:842830053]', '[U:1:1323640]', '[U:1:1241493147]', '[U:1:892993531]', '[U:1:94683089]']","[5, 0]"
