red,blue,score
"['[U:1:342061447]', '[U:1:485271219]', '[U:1:489591700]', '[U:1:163785388]', '[U:1:198377443]', '[U:1:1229126044]']","['[U:1:402718118]', '[U:1:1007792924]', '[U:1:100621014]', '[U:1:207531281]', '[U:1:87181413]', '[U:1:296417871]']","[1, 5]"
"['[U:1:39964201]', '[U:1:342061447]', '[U:1:73086130]', '[U:1:1229126044]', '[U:1:108814174]', '[U:1:296417871]']","['[U:1:402718118]', '[U:1:311694820]', '[U:1:87181413]', '[U:1:163785388]', '[U:1:198377443]', '[U:1:1007792924]']","[3, 1]"
"['[U:1:402718118]', '[U:1:155136833]', '[U:1:155227384]', '[U:1:1229126044]', '[U:1:311694820]', '[U:1:485271219]']","['[U:1:100621014]', '[U:1:207531281]', '[U:1:342061447]', '[U:1:163785388]', '[U:1:229064914]', '[U:1:39964201]']","[2, 0]"
"['[U:1:485271219]', '[U:1:155136833]', '[U:1:311694820]', '[U:1:39964201]', '[U:1:73086130]', '[U:1:52815207]']","['[U:1:402718118]', '[U:1:207531281]', '[U:1:259438873]', '[U:1:350058571]', '[U:1:163785388]', '[U:1:155227384]']","[5, 0]"
"['[U:1:207531281]', '[U:1:155227384]', '[U:1:321734144]', '[U:1:485271219]', '[U:1:121079858]', '[U:1:163785388]']","['[U:1:402718118]', '[U:1:118938526]', '[U:1:164800184]', '[U:1:73086130]', '[U:1:311694820]', '[U:1:39964201]']","[0, 5]"
"['[U:1:149213671]', '[U:1:131400746]', '[U:1:207531281]', '[U:1:183962091]', '[U:1:350058571]', '[U:1:163785388]']","['[U:1:312713985]', '[U:1:259438873]', '[U:1:164800184]', '[U:1:118938526]', '[U:1:130301058]', '[U:1:485271219]']","[3, 1]"
"['[U:1:149213671]', '[U:1:169764222]', '[U:1:121705589]', '[U:1:259438873]', '[U:1:350058571]', '[U:1:485271219]']","['[U:1:219622414]', '[U:1:73086130]', '[U:1:121079858]', '[U:1:409701962]', '[U:1:155227384]', '[U:1:207531281]']","[2, 2]"
"['[U:1:94683089]', '[U:1:83930987]', '[U:1:260352292]', '[U:1:409701962]', '[U:1:146679886]', '[U:1:130301058]']","['[U:1:121705589]', '[U:1:154627863]', '[U:1:207531281]', '[U:1:108814174]', '[U:1:131400746]', '[U:1:155136833]']","[0, 5]"
"['[U:1:161368092]', '[U:1:81583816]', '[U:1:198377443]', '[U:1:73086130]', '[U:1:1269167570]', '[U:1:1007792924]']","['[U:1:350058571]', '[U:1:312713985]', '[U:1:914240935]', '[U:1:156440371]', '[U:1:146679886]', '[U:1:229064914]']","[0, 4]"
"['[U:1:146679886]', '[U:1:312713985]', '[U:1:81583816]', '[U:1:156440371]', '[U:1:73086130]', '[U:1:919085644]']","['[U:1:161368092]', '[U:1:1269167570]', '[U:1:198377443]', '[U:1:1007792924]', '[U:1:361612154]', '[U:1:350058571]']","[4, 1]"
"['[U:1:489591700]', '[U:1:361612154]', '[U:1:317981219]', '[U:1:1007792924]', '[U:1:146679886]', '[U:1:350058571]']","['[U:1:156440371]', '[U:1:919085644]', '[U:1:229064914]', '[U:1:73086130]', '[U:1:1269167570]', '[U:1:198377443]']","[0, 5]"
"['[U:1:229064914]', '[U:1:161368092]', '[U:1:317981219]', '[U:1:183962091]', '[U:1:1269167570]', '[U:1:156440371]']","['[U:1:361612154]', '[U:1:146679886]', '[U:1:914240935]', '[U:1:73086130]', '[U:1:919085644]', '[U:1:421599131]']","[4, 1]"
"['[U:1:164469931]', '[U:1:428241817]', '[U:1:402718118]', '[U:1:84980776]', '[U:1:130301058]', '[U:1:842830053]']","['[U:1:155227384]', '[U:1:1093421990]', '[U:1:863015066]', '[U:1:342061447]', '[U:1:350058571]', '[U:1:1050919710]']","[3, 0]"
